hotel_name,review_text,vader_compound,vader_label,sentiwordnet,afinn_score
AnkAkyaka Apart Hotel,stay cheap narrow room know needed room could spend night look hotel cheap room enough room really small bed really small except mini fridge want open large suitcase not open bathroom toilet enough room give night provide with basic condition stay bed pillow comfortable toilet bathroom clean stay night want stay second night room could catch eye night tolerate internet not work room wifi password request location term walk distance everywhere,0.765,positive,"{'positivity': 2.625, 'negativity': 4.25, 'objectivity': 61.125}",6.0
AnkAkyaka Apart Hotel,location beautiful room spacious toilet smelly attitude staff different talk phone say price price agree treat liar friend throw lie take price low style disturb style disturb sad demoralize experience give low reason deserves choose another apart akyaka,-0.4019,negative,"{'positivity': 3.5, 'negativity': 3.875, 'objectivity': 29.625}",-5.0
AnkAkyaka Apart Hotel,budget lyric room stay room stay spacious double balcony immaculate suitcase could open say keep aparts room create narrow ambience age comfortable son confidence thank ankakyaka apart hotel,0.8807,positive,"{'positivity': 1.125, 'negativity': 0.75, 'objectivity': 23.125}",7.0
AnkAkyaka Apart Hotel,september family accommodation satisfy satisfied apartment immaculate employee interested material apartment clean thoughtful satisfy thank greeting fethiye,0.9633,positive,"{'positivity': 3.375, 'negativity': 0.0, 'objectivity': 12.625}",11.0
AnkAkyaka Apart Hotel,stay ankakyaka hotel great price affordable cleanliness quality offer really deserve star room clean modern care attention staff friendliness enhance holiday experience peaceful atmosphere combine natural beauty akyaka make time spend unforgettable would recommend peace mind anyone look affordable clean comfortable accommodation,0.9884,positive,"{'positivity': 4.5, 'negativity': 1.5, 'objectivity': 32.0}",29.0
AnkAkyaka Apart Hotel,good experience room centre walk everything like restaurant shop bank departmental store view outside building amaze due amazing nature want see room tour hotel release soon please check youtube subscribe motovlogger travel inside turkey different location moody lens best regard,0.9517,positive,"{'positivity': 3.125, 'negativity': 0.875, 'objectivity': 33.0}",15.0
AnkAkyaka Apart Hotel,stay ankakyaka nice clean place sleep series option choose double bedded room kitchen balcony big room small room double bed minimalistic style stuff get along nicely even though speaking language nice warm morning smile pa someone get chance use kitchen therefore make use local fish market nice respectful friendly owner son kind helpful simple person not need much even ankakyaka get great value money invest like stay day minimalistic room also perfect need already look forward another visit ankakyaka greet best form room could use good scent really minor problem major,0.9935,positive,"{'positivity': 5.5, 'negativity': 2.375, 'objectivity': 77.125}",36.0
AnkAkyaka Apart Hotel,nice place stay love balcony apartment everything need close river beach shopping store nearby,0.7906,positive,"{'positivity': 0.75, 'negativity': 0.125, 'objectivity': 12.125}",6.0
AnkAkyaka Apart Hotel,small room really small lol friendly staff convenient stay recommend,0.8419,positive,"{'positivity': 1.375, 'negativity': 0.375, 'objectivity': 7.25}",7.0
AnkAkyaka Apart Hotel,wow decent shower hot water need hard find others decent,0.5267,positive,"{'positivity': 2.75, 'negativity': 1.25, 'objectivity': 5.0}",3.0
Panamara Otel,think comment hotel stay hotel room stink cigarette smell cigarette pillow bathroom toilet seem left nightmare night spend comment employee think filter air condition visible dust filter air condition visible dust clean beginning season waste money,-0.4215,negative,"{'positivity': 0.625, 'negativity': 1.0, 'objectivity': 34.375}",-1.0
Panamara Otel,hotel affordable clean location nice stay back facade room reach olive tree balcony reach olive tree balcony intertwine nature staff friendly respectful ask need encounter ask enough price performance hotel compare solid price hotel expect excess facility stay night problem,0.8689,positive,"{'positivity': 2.875, 'negativity': 1.25, 'objectivity': 35.875}",11.0
Panamara Otel,receptionist customer relationship zero guy create world stop night stay not stay not stay not stay learn tradesman learn tradesman learn tradesman learn tradesman,-0.0258,neutral,"{'positivity': 0.25, 'negativity': 2.125, 'objectivity': 21.625}",-1.0
Panamara Otel,wife stay overnight room small convenient manage night would nice person reception day stay breakfast would nice person reception inform miss breakfast go late least write entrance comfortable room reason air condition shower facility would nice least shower cabin make price performance call,0.8779,positive,"{'positivity': 2.375, 'negativity': 1.0, 'objectivity': 36.625}",9.0
Panamara Otel,thank friendly service clean room moreover history lie surround nature nice facility rest sightsee,0.8807,positive,"{'positivity': 0.625, 'negativity': 0.0, 'objectivity': 13.375}",9.0
Panamara Otel,traditional turkish house conversion hotel furniture manner friendly staff suitable seasonal worker hitchhiker,0.4939,positive,"{'positivity': 0.25, 'negativity': 0.0, 'objectivity': 12.75}",4.0
Panamara Otel,staff wonderful everything power make stay comfortable bed comfortable perfect place stop along journey thank,0.936,positive,"{'positivity': 1.25, 'negativity': 1.5, 'objectivity': 11.25}",12.0
Panamara Otel,well receive friendly welcome visitor,0.8074,positive,"{'positivity': 0.375, 'negativity': 0.0, 'objectivity': 4.625}",4.0
Panamara Otel,enjoy stay thank,0.6908,positive,"{'positivity': 0.375, 'negativity': 0.0, 'objectivity': 2.625}",4.0
Panamara Otel,first think comment never stay hotel room smell like cigarette smoke smell cigarette smoke permeate pillow bathroom toilet look like nightmarish night think comment make employee filter air condition visible due dust least cleaned begin season shame money,0.2263,positive,"{'positivity': 1.5, 'negativity': 2.125, 'objectivity': 34.375}",2.0
